Question,Answer,Difficulty,Subject_id
2 x 3,6,3,3
3 x 3,9,3,3
4 x 3,12,3,3
5 x 3,15,3,3
6 x 3,18,3,3
7 x 3,21,4,3
8 x 3,24,4,3
9 x 3,27,4,3
10 x 3,30,4,3
0 x 4,0,3,3
1 x 4,4,3,3
2 x 4,8,3,3
3 x 4,12,3,3
4 x 4,16,3,3
5 x 4,20,4,3
6 x 4,24,4,3
7 x 4,28,4,3
8 x 4,32,4,3
9 x 4,36,4,3
10 x 4,40,4,3
0 x 5,0,3,3
1 x 5,5,3,3
2 x 5,10,3,3
3 x 5,15,3,3
4 x 5,20,4,3
5 x 5,25,4,3
6 x 5,30,4,3
7 x 5,35,4,3
8 x 5,40,4,3
9 x 5,45,4,3
10 x 5,50,4,3
0 x 6,0,3,3
1 x 6,6,3,3
2 x 6,12,3,3
3 x 6,18,3,3
4 x 6,24,4,3
5 x 6,30,4,3
6 x 6,36,4,3
7 x 6,42,4,3
8 x 6,48,4,3
9 x 6,54,4,3
10 x 6,60,4,3
0 x 7,0,3,3
1 x 7,7,3,3
2 x 7,14,3,3
3 x 7,21,4,3
4 x 7,28,4,3
5 x 7,35,4,3
6 x 7,42,4,3
7 x 7,49,4,3
8 x 7,56,4,3
9 x 7,63,4,3
10 x 7,70,4,3
0 x 8,0,3,3
1 x 8,8,3,3
2 x 8,16,3,3
3 x 8,24,4,3
4 x 8,32,4,3
5 x 8,40,4,3
6 x 8,48,4,3
7 x 8,56,4,3
8 x 8,64,4,3
9 x 8,72,4,3
10 x 8,80,4,3
0 x 9,0,3,3
1 x 9,9,3,3
2 x 9,18,3,3
3 x 9,27,4,3
4 x 9,36,4,3
5 x 9,45,4,3
6 x 9,54,4,3
7 x 9,63,4,3
8 x 9,72,4,3
9 x 9,81,4,3
10 x 9,90,4,3
0 x 10,0,3,3
1 x 10,10,3,3
2 x 10,20,4,3
3 x 10,30,4,3
4 x 10,40,4,3
5 x 10,50,4,3
6 x 10,60,4,3
7 x 10,70,4,3
8 x 10,80,4,3
9 x 10,90,4,3
10 x 10,100,4,3
